SampleID,Species,Project,Strain,Sex,Born,Weaned,MomID,DadID,Age,Weight (g),TestesOnly(G),RelativeTestesWeight (mg/g),SVWeight(g),RelativeSVWeight (mg/g),DateSampled,Motility.Mot,Motility.Non.Mot,Count.Total,Count.Rows,Dilution,HamsterLength,TailLength,FootLength,EarLength,SP_sampled,LZ_sampled,DIP_sampled,RS_sampled,WT_sampled,RNASeq_sampled
BB.BB153.5M,Pcam,Hamster,BB.BB,Male,4-Dec-13,23-Dec-13,BBBB136.1F,BBBB135.5M,103,33.9615,1.7573,5.174388646,NA,NA,17-Mar-14,TNTC,TNTC,TNTC,TNTC,1,108,9.5,16,18.5,X,X,X,,,X
BB.BB153.6M,Pcam,Hamster,BB.BB,Male,4-Dec-13,23-Dec-13,BBBB136.1F,BBBB135.5M,106,29.833,1.4232,4.770556096,0.4005,1.3424731,20-Mar-14,TNTC,TNTC,TNTC,TNTC,1,105,7,15,15,X,,X,,,X
BB.BB154.4M,Pcam,Hamster,BB.BB,Male,13-Dec-13,31-Dec-13,BBBB132.5F,BBBB143.2M,111,30.074,1.3891,4.618939948,0.4315,1.434794174,3-Apr-14,TNTC,TNTC,TNTC,TNTC,1,100,7,15,17,,X,,,,X
BB.BB195.4M,Pcam,Hamster,BB.BB,Male,21-Apr-15,8-May-15,BBBB185.1F,BBBB181.4M,128,34.0882,0.825,2.420192325,0.558,1.636930081,27-Aug-15,336,87,1011,5,1,116,10,15,16,X,X,X,X,,X
BB.BB197.3M,Pcam,Hamster,BB.BB,Male,23-Apr-15,12-May-15,BBBB176.1F,BBBB174.3M,141,36.2427,1.4656,4.04384883,0.5395,1.48857563,11-Sep-15,273,23,135,10,0.1,114,80,15,17,,,X,X,,X
BB.BB197.4M,Pcam,Hamster,BB.BB,Male,23-Apr-15,12-May-15,BBBB176.1F,BBBB174.3M,133,32.0483,1.1584,3.614544297,0.3807,1.187894522,3-Sep-15,151,20,52,10,0.1,117,7,16,14,,X,X,X,,X
BB.BB198.7M,Pcam,Hamster,BB.BB,Male,27-Apr-15,15-May-15,BBBB183.1F,BBBB182.3M,104,35.89,1.5933,4.439398161,NA,NA,9-Aug-15,NA,NA,NA,NA,1,NA,NA,NA,NA,X,X,,X,,X
BB.BB280.4M,Pcam,Hamster,BB.BB,Male,1-Feb-19,NA,NA,NA,154,51.8005,1.2707,2.453065125,0.8063,1.556548682,5-Jul-19,NA,NA,116,5,0.1,101.9,8.68,11.63,8.93,,,,,X,X
BB.BB281C.3M,Pcam,Hamster,BB.BB,Male,13-Apr-19,NA,NA,NA,83,30.5165,1.0479,3.433880032,0.385,1.26161257,5-Jul-19,NA,NA,224,5,0.1,90.66,7.52,13.78,10.78,,,,,X,X
BB.BB283B.4M,Pcam,Hamster,BB.BB,Male,18-Apr-19,7-May-19,BBBB277.1F,BBBB271.2M,78,39.136,1.302,3.32686018,0.8219,2.100112428,5-Jul-19,NA,NA,303,5,0.2,98.59,7.02,12.68,10.6,,,,,X,X
BB.BB291.3M,Pcam,Hamster,BB.BB,Male,17-Sep-19,8-Oct-19,BBBB282C.1F,BBBB286B.5M,163,43.8717,1.386,3.159211975,0.5987,1.364661046,27-Feb-20,NA,NA,NA,NA,1,105,11,14,15,,,,,,
BB.BB295A.3M,Pcam,Hamster,BB.BB,Male,8-Oct-19,27-Oct-19,BBBB283B.3F,BBBB287A.4M,142,43.6963,1.5074,3.449719999,0.3708,0.848584434,27-Feb-20,NA,NA,NA,NA,1,107,12,16,15,,,,,,
BB.BB295A.4M,Pcam,Hamster,BB.BB,Male,NA,NA,NA,NA,NA,41.8008,1.3505,3.230799411,0.4665,1.116007349,27-Feb-20,NA,NA,NA,NA,1,105,11,15,15,,,,,,
BB.SS100.2M,Pcam_Psun,Hamster,BB.SS,Male,12-Jun-15,29-Jun-15,NA,NA,105,24.1398,0.1858,0.769683262,0.0899,0.372414022,25-Sep-15,0,2,2,10,1,96,8,15,18,X,X,X,,,X
BB.SS7.1M,Pcam_Psun,Hamster,BB.SS,Male,27-May-19,14-Jun-19,BBBB275.1F,SSSS228.7M,85,26.8298,0.2426,0.904218444,0.0924,0.344393175,20-Aug-19,NA,NA,0,5,1,88.92,4.31,12.98,9.86,,,,,X,X
BB.SS90.2M,Pcam_Psun,Hamster,BB.SS,Male,9-Aug-13,27-Aug-13,BBBB127.1F,SSSS141.6M,97,20.8222,0.1874,0.900000961,0.0701,0.336659911,14-Nov-13,0,0,0,5,1,35,7,15,16.5,X,X,X,,,X
BB.SS90.3M,Pcam_Psun,Hamster,BB.SS,Male,9-Aug-13,27-Aug-13,BBBB127.1F,SSSS141.6M,105,14.1306,0.0435,0.307842555,NA,NA,22-Nov-13,0,0,0,5,1,88,12,15,15.5,X,,,,,X
BB.SS95.3M,Pcam_Psun,Hamster,BB.SS,Male,5-Sep-13,23-Sep-13,BBBB115.1F,SSSS132.5M,81,18.2787,0.0458,0.250564865,NA,NA,25-Nov-13,0,0,0,5,1,100,12,14.5,16,,X,X,,,X
BB.SS99.3M,Pcam_Psun,Hamster,BB.SS,Male,31-May-15,18-Jun-15,BBBB172.2F,SSSS171.2M,116,20.0295,0.1283,0.640555181,0.0934,0.46631219,24-Sep-15,0,0,0,5,1,95,7,14,16,X,X,X,,,X
SS.SS138.5M,Psun,Hamster,SS.SS,Male,19-May-13,6-Jun-13,SSSS115.1F,SSSS113.7M,200,32.7442,0.6554,2.001575852,NA,NA,5-Dec-13,48,26,217,5,1,116,10,16,18,,X,X,,,X
SS.SS152.4M,Psun,Hamster,SS.SS,Male,7-Nov-13,25-Nov-13,SSSS146.1F,SSSS145.4M,90,38.181,0.544,1.424792436,0.2169,0.568083602,5-Feb-14,110,36,335,5,1,105,9,17,15.5,,,,,,
SS.SS155.5M,Psun,Hamster,SS.SS,Male,29-Nov-13,16-Dec-13,SSSS138.1F,SSSS139.4M,101,30.4169,0.3502,1.151333634,0.0983,0.323175603,10-Mar-14,31,9,37,5,1,104,7,15,16,X,X,X,,,X
SS.SS155.6M,Psun,Hamster,SS.SS,Male,29-Nov-13,16-Dec-13,SSSS138.1F,SSSS139.4M,73,31.7456,0.4255,1.340343229,NA,NA,10-Feb-14,68,19,142,5,1,100,7,15.5,17,X,X,X,,,X
SS.SS182.5M,Psun,Hamster,SS.SS,Male,3-Apr-15,21-Apr-15,SSSS173.2F,SSSS171.3M,143,33.1985,0.5709,1.719656009,0.2191,0.659969577,24-Aug-15,256,25,315,1,1,101,5,15,14,,X,X,X,,X
SS.SS188.4M,Psun,Hamster,SS.SS,Male,23-Apr-15,12-May-15,SSSS179.1F,SSSS169.8M,127,34.128,1.2304,3.60525082,0.3368,0.986872949,28-Aug-15,271,63,757,10,1,119,8,14,15,X,,X,X,,X
SS.SS188.5M,Psun,Hamster,SS.SS,Male,23-Apr-15,12-May-15,SSSS179.1F,SSSS169.8M,140,39.9322,0.8067,2.020174195,0.324,0.811375281,10-Sep-15,38,11,50,10,0.1,108,70,14,16,X,,,X,,X
SS.SS230.5M,Psun,Hamster,SS.SS,Male,11-Feb-19,NA,NA,NA,148,44.9464,0.3078,0.684815692,0.2194,0.488136981,9-Jul-19,NA,NA,1,5,1,97.87,6.52,11.59,9.84,,,,,,
SS.SS231.5M,Psun,Hamster,SS.SS,Male,3-Mar-19,21-Mar-19,SSSS225.1F,SSSS226.6M,131,45.9105,0.3738,0.814192832,0.2387,0.519924636,12-Jul-19,NA,NA,0,5,1,99.03,4.56,9.89,7.92,,,,,,
SS.SS231.6M,Psun,Hamster,SS.SS,Male,3-Mar-19,NA,NA,NA,124,37.5164,0.4143,1.104317045,0.3501,0.933191884,5-Jul-19,NA,NA,59,5,1,93.71,7.46,14.62,10.77,,,,,X,X
SS.SS231.7M,Psun,Hamster,SS.SS,Male,3-Mar-19,NA,NA,NA,124,39.6652,0.3202,0.807256739,0.2427,0.611871363,5-Jul-19,NA,NA,0,5,0.1,96.11,6.66,14.74,11.73,,,,,,
SS.SS233A.7M,Psun,Hamster,SS.SS,Male,14-May-19,1-Jun-19,SSSS229.1F,SSSS229.3M,59,32.0079,0.519,1.621474698,0.1744,0.544865486,12-Jul-19,NA,NA,44,5,0.2,95.72,3.96,10.76,6.36,,,,,X,X
SS.SS233B.4M,Psun,Hamster,SS.SS,Male,3-Jun-19,22-Jun-19,SSSS229.1F,SSSS229.3M,78,38.5709,0.5727,1.484798125,0.2036,0.527859086,20-Aug-19,NA,NA,122,5,0.33,101.25,4.39,12.38,10,,,,,X,X